artist_name,album_name,album_type,release_date,total_tracks,album_uri,name,duration_ms,explicit,track_number,popularity,valence,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,tempo,time_signature,track_uri
NCT 127,Sticker - The 3rd Album,album,2021-09-17,11,spotify:album:6nYbIKGcTmKM5BAlJPPcad,bring the noize,222160,False,7,48,0.91,0.762,0.923,6,-3.11,1,0.185,0.196,0.0,0.488,160.065,4,spotify:track:0qrI2HZIHthFCBjnS7t2jp
NCT 127,Sticker - The 3rd Album,album,2021-09-17,11,spotify:album:6nYbIKGcTmKM5BAlJPPcad,magic carpet ride,218146,False,8,47,0.401,0.579,0.624,6,-4.85,1,0.0539,0.065,0.0,0.105,141.852,4,spotify:track:6F2wRUS8oe71Hs9O58dMKb
NCT 127,Sticker - The 3rd Album,album,2021-09-17,11,spotify:album:6nYbIKGcTmKM5BAlJPPcad,road trip,215053,False,9,44,0.434,0.75,0.538,5,-4.866,0,0.036,0.123,0.0,0.0937,87.992,4,spotify:track:2OoG4BqX926Te1vGdMFB2F
NCT 127,Sticker - The 3rd Album,album,2021-09-17,11,spotify:album:6nYbIKGcTmKM5BAlJPPcad,dreamer,209160,False,10,45,0.907,0.843,0.762,5,-2.121,0,0.112,0.292,0.0,0.042,109.038,4,spotify:track:2dGQn6Dqb5PPLqtbmvfcFf
NCT 127,Sticker - The 3rd Album,album,2021-09-17,11,spotify:album:6nYbIKGcTmKM5BAlJPPcad,promise you,211160,False,11,45,0.233,0.632,0.874,0,-2.763,1,0.0546,0.108,6.34e-06,0.118,121.954,4,spotify:track:5LuX3XQmdRG327lafv1p50
NCT 127,NCT #127 Neo Zone: The Final Round - The 2nd Album Repackage,album,2020-05-19,17,spotify:album:64F7bFLt8ULAfBl2L4Pyv4,punch,204000,False,1,52,0.511,0.636,0.915,1,-3.473,1,0.183,0.0353,0.0,0.0978,90.946,4,spotify:track:0O22hXRIdbyrnMQk7VldC9
NCT 127,NCT #127 Neo Zone: The Final Round - The 2nd Album Repackage,album,2020-05-19,17,spotify:album:64F7bFLt8ULAfBl2L4Pyv4,nonstop,204706,False,2,45,0.644,0.555,0.926,0,-2.793,0,0.113,0.0892,0.0,0.0626,149.725,4,spotify:track:23a4qKSwqUK70S8GnXa0Js
NCT 127,NCT #127 Neo Zone: The Final Round - The 2nd Album Repackage,album,2020-05-19,17,spotify:album:64F7bFLt8ULAfBl2L4Pyv4,prelude,105280,False,3,32,0.328,0.569,0.823,4,-5.709,0,0.169,0.00796,0.779,0.28,166.994,4,spotify:track:6hHzGmjnndU1GyJsZwQ0HH
NCT 127,NCT #127 Neo Zone: The Final Round - The 2nd Album Repackage,album,2020-05-19,17,spotify:album:64F7bFLt8ULAfBl2L4Pyv4,make your day,215026,False,8,40,0.439,0.602,0.411,2,-5.634,0,0.0315,0.839,0.0,0.283,117.661,3,spotify:track:3AHenSAPA6AQZZnyuWHJnz
NCT 127,NCT #127 Neo Zone - The 2nd Album,album,2020-03-06,13,spotify:album:5YOvg682zFOleCiSndLnZr,elevator (127f),209880,False,1,47,0.58,0.731,0.707,4,-3.808,0,0.0581,0.105,0.0,0.404,103.971,4,spotify:track:2Go7eMyOdfKqKOC4x32RYt
